date,sku,stock,reserved,sales,country,price_de,price_ae,price_at,price_be,price_bg,price_ca,price_ch,price_cl,price_cy,price_cz,price_dk,price_gp,price_ee,price_es,price_fi,price_fr,price_gr,price_hr,price_hu,price_il,price_is,price_it,price_kr,price_lt,price_lu,price_lv,price_mc,price_mt,price_nl,price_no,price_pl,price_pt,price_ro,price_se,price_si,price_sk,price_tr,sale_de,sale_ae,sale_at,sale_be,sale_bg,sale_ca,sale_ch,sale_cl,sale_cy,sale_cz,sale_dk,sale_gp,sale_ee,sale_es,sale_fi,sale_fr,sale_gr,sale_hr,sale_hu,sale_il,sale_is,sale_it,sale_kr,sale_lt,sale_lu,sale_lv,sale_mc,sale_mt,sale_nl,sale_no,sale_pl,sale_pt,sale_ro,sale_se,sale_si,sale_sk,sale_tr
2021-09-01,A0000001,,,16,NL,33.9000015258789,,34.189998626709,,,,,,,,,,,31.9500007629395,,39.9500007629395,,,,,,33.6900005340576,,,,,,,31.9500007629395,,,,,,,,,2,,2,,,,,,,,,,,2,,3,,,,,,6,,,,,,,1,,,,,,,,
2021-09-01,A0000002,,,8,IT,24.9500007629395,,25.1599998474121,,,,,,,,,,,,,27.9500007629395,,,,,,26.9500007629395,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,
2021-09-01,A0000003,,,17,IT,24.9500007629395,,25.1599998474121,,,,,,,,,,,24.9500007629395,,,,,,,,26.9500007629395,,,,,,,,,,,,,,,,8,,3,,,,,,,,,,,2,,,,,,,,4,,,,,,,,,,,,,,,
2021-09-01,A0000004,,,21,IT,23.7000007629395,,23.8999996185303,,,,,,,,,,,24.9500007629395,,27.9500007629395,,,,,,25.3300005594889,,,,,,,,,,,,,,,,7,,1,,,,,,,,,,,2,,6,,,,,,5,,,,,,,,,,,,,,,
2021-09-01,A0000005,,,7,SE,24.9500007629395,,25.1599998474121,,,,,,,,,,,24.9500007629395,,,,,,,,26.9500007629395,,,,,,,,,,,,264.519989013672,,,,2,,2,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,
2021-09-02,A0000001,84,47,15,IT,33.9000015258789,,34.189998626709,,,,,,,,,,,31.9500007629395,,,,,,,,34.9500007629395,,,,,,,,,,,,,,,,7,,1,,,,,,,,,,,2,,,,,,,,5,,,,,,,,,,,,,,,
2021-09-02,A0000002,72,37,5,ES,24.9500007629395,,,,,,,,,,,,,24.9500007629395,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
2021-09-02,A0000003,185,59,17,SE,24.9500007629395,,25.1599998474121,,,,,,,,,,,24.9500007629395,,27.9500007629395,,,,,,26.9500007629395,,,,,,,,,,,,264.519989013672,,,,9,,1,,,,,,,,,,,2,,1,,,,,,3,,,,,,,,,,,,1,,,
2021-09-02,A0000004,104,109,12,IT,22.5200004577637,,22.7000007629395,,,,,,,,,,,,,27.9500007629395,,,,,,26.9500007629395,,,,,,,,,,,,,,,,5,,2,,,,,,,,,,,,,4,,,,,,1,,,,,,,,,,,,,,,
2021-09-02,A0000005,26,1,3,IT,24.9500007629395,,,,,,,,,,,,,,,,,,,,,26.9500007629395,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2021-09-03,A0000001,77,37,13,IT,33.9000015258789,,34.189998626709,,,,,,,,,,,,,39.9500007629395,,,,,,34.9500007629395,,,,,,,,,,,,,,,,5,,3,,,,,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,
2021-09-03,A0000002,70,34,6,IT,24.9500007629395,,25.1599998474121,,,,,,,,,,,,,,,,,,,26.9500007629395,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2021-09-03,A0000003,174,58,17,SE,24.9500007629395,,25.1599998474121,,,,,,,,,,,24.9500007629395,,27.9500007629395,,,,,,26.9500007629395,,,,,,,24.9500007629395,,,,,264.519989013672,,,,6,,2,,,,,,,,,,,4,,1,,,,,,2,,,,,,,1,,,,,1,,,
2021-09-03,A0000004,120,92,9,IT,21.3899993896484,,,,,,,,,,,,,,,27.9500007629395,,,,,,22.0900001525879,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,
2021-09-03,A0000005,24,2,5,ES,24.9500007629395,,25.1599998474121,,,,,,,,,,,24.9500007629395,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
2021-09-04,A0000001,79,25,7,NL,33.9000015258789,,34.189998626709,,,,,,,,,,,31.9500007629395,,,,,,,,34.9500007629395,,,,,,,31.9500007629395,,,,,,,,,2,,1,,,,,,,,,,,1,,,,,,,,2,,,,,,,1,,,,,,,,
2021-09-04,A0000002,65,36,4,IT,24.9500007629395,,,,,,,,,,,,,,,27.9500007629395,,,,,,26.9500007629395,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
2021-09-04,A0000003,169,47,8,FR,24.9500007629395,,25.1599998474121,,,,,,,,,,,,,27.9500007629395,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
2021-09-04,A0000004,131,73,2,FR,,,,,,,,,,,,,,,,27.9500007629395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
2021-09-04,A0000005,17,8,3,FR,24.9500007629395,,25.1599998474121,,,,,,,,,,,,,27.9500007629395,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2021-09-05,A0000001,,,11,IT,33.9000015258789,,,,,,,,,,,,,,,39.9500007629395,,,,,,34.9500007629395,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,
2021-09-05,A0000002,,,4,FR,24.9500007629395,,,,,,,,,,,,,24.9500007629395,,27.9500007629395,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,
2021-09-05,A0000003,,,15,IT,24.9500007629395,,25.1599998474121,,,,,,,,,,,24.9500007629395,,27.9500007629395,,,,,,26.9500007629395,,,,,,,,,,,,,,,,5,,1,,,,,,,,,,,4,,2,,,,,,3,,,,,,,,,,,,,,,
2021-09-05,A0000004,,,4,FR,,,,,,,,,,,,,,24.9500007629395,,27.9500007629395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,
2021-09-05,A0000005,,,6,FR,24.9500007629395,,,,,,,,,,,,,,,27.9500007629395,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
2021-09-06,A0000001,64,17,8,NL,33.9000015258789,,34.189998626709,,,,,,,,,,,,,39.9500007629395,,,,,,34.9500007629395,,,,,,,31.9500007629395,,,,,,,,,2,,1,,,,,,,,,,,,,1,,,,,,3,,,,,,,1,,,,,,,,
2021-09-06,A0000002,62,27,7,IT,24.9500007629395,,25.1599998474121,,,,,,,,,,,,,,,,,,,26.9500007629395,,,,,,,,,,,,,,,,5,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2021-09-06,A0000003,159,28,18,IT,24.9500007629395,,,,,,,,,,,,,24.9500007629395,,27.9500007629395,,,,,,26.9500007629395,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,,9,,,,,,2,,,,,,,,,,,,,,,
2021-09-06,A0000004,159,35,3,IT,,,,,,,,,,,,,,24.9500007629395,,,,,,,,22.0900001525879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,
2021-09-06,A0000005,12,3,1,IT,,,,,,,,,,,,,,,,,,,,,,26.9500007629395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2021-09-07,A0000001,,,7,IT,33.9000015258789,,,,,,,,,,,,,29.1750001907349,,,,,,,,34.9500007629395,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,
2021-09-07,A0000002,,,7,NL,24.9500007629395,,25.1599998474121,,,,,,,,26.2099990844727,,,,,27.9500007629395,,,,,,26.9500007629395,,,,,,,24.9500007629395,,,,,,,,,1,,1,,,,,,,,1,,,,,2,,,,,,1,,,,,,,1,,,,,,,,
2021-09-07,A0000003,,,13,NL,24.9500007629395,,,,,,,,,,,,,22.7850008010864,,27.9500007629395,,,,,,26.9500007629395,,,,,,,24.9500007629395,,,,,,,,,4,,,,,,,,,,,,,4,,3,,,,,,1,,,,,,,1,,,,,,,,
2021-09-07,A0000004,,,12,IT,21.2199993133545,,,,,,,,,,,,,,,27.018000793457,,,,,,26.9500007629395,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,5,,,,,,2,,,,,,,,,,,,,,,
2021-09-07,A0000005,,,6,FR,24.9500007629395,,,,,,,,,,,,,24.9500007629395,,27.9500007629395,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,
2021-09-08,A0000001,50,18,6,IT,33.9000015258789,,,,,,,,,,,,,,,39.9500007629395,,,,,,34.9500007629395,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,
