date,sku,stock,reserved,sales,country,price_de,price_ae,price_at,price_be,price_bg,price_ca,price_ch,price_cl,price_cy,price_cz,price_dk,price_gp,price_ee,price_es,price_fi,price_fr,price_gr,price_hr,price_hu,price_il,price_is,price_it,price_kr,price_lt,price_lu,price_lv,price_mc,price_mt,price_nl,price_no,price_pl,price_pt,price_ro,price_se,price_si,price_sk,price_tr,sale_de,sale_ae,sale_at,sale_be,sale_bg,sale_ca,sale_ch,sale_cl,sale_cy,sale_cz,sale_dk,sale_gp,sale_ee,sale_es,sale_fi,sale_fr,sale_gr,sale_hr,sale_hu,sale_il,sale_is,sale_it,sale_kr,sale_lt,sale_lu,sale_lv,sale_mc,sale_mt,sale_nl,sale_no,sale_pl,sale_pt,sale_ro,sale_se,sale_si,sale_sk,sale_tr
2021-09-01,B0000010,,,10,FR,29.5900001525879,,,,,,,,,,,,,,,34.4799995422363,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
2021-09-01,B0000001,,,35,LT,25.9500007629395,,,,,,,,,,,,,24.9500007629395,,28.1900005340576,,,,,,28.75,,26.3899993896484,,,,,,,,,,,,,,27,,,,,,,,,,,,,1,,4,,,,,,2,,1,,,,,,,,,,,,,
2021-09-01,B0000002,,,15,IT,33.9500007629395,,,,,,,,,,,,,32.9500007629395,,37.7999992370606,,,,,,36.9500007629395,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,1,,2,,,,,,1,,,,,,,,,,,,,,,
2021-09-01,B0000009,,,9,DE,34.9500007629395,,29.3700008392334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-02,B0000010,75,95,18,IT,29.5900001525879,,,,,,,,,,,,,,,34.4799995422363,,,,,,34.5200004577637,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,
2021-09-02,B0000001,246,137,54,LU,25.9500007629395,,26.1700000762939,,,,,,,,,,,24.9500007629395,,28.1900005340576,,,,,,28.75,,,25.5200004577637,,,,,,,,,,,,,39,,5,,,,,,,,,,,2,,3,,,,,,4,,,1,,,,,,,,,,,,
2021-09-02,B0000002,33,57,2,DE,33.9500007629395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-02,B0000009,72,28,10,IT,34.1528579166957,,,,,,,,,,,,,33.9500007629395,,,,,,,,37.9500007629395,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,
2021-09-03,B0000010,88,73,12,SE,29.5900001525879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.309997558594,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2021-09-03,B0000001,237,97,24,SE,25.9500007629395,,,,,,,,,,,,,24.9500007629395,,28.1900005340576,,,,,,,,,,,,,25.9500007629395,,,,,276.25,,,,16,,,,,,,,,,,,,2,,3,,,,,,,,,,,,,1,,,,,2,,,
2021-09-03,B0000002,29,57,14,SE,33.9500007629395,,,,,,,,,,,,,,,37.7999992370606,,,,,,36.9500007629395,,,,,,,,,,,,364.929992675781,,,,10,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,1,,,
2021-09-03,B0000009,65,27,1,DE,34.9500007629395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-04,B0000010,99,50,10,FR,29.5900001525879,,,,,,,,,,,,,,,34.4799995422363,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2021-09-04,B0000001,231,83,32,IT,25.9500007629395,,26.1700000762939,,,,,,,,,,,24.9500007629395,,28.1900005340576,,,,,,28.75,,,,,,,,,,,,,,,,25,,3,,,,,,,,,,,2,,1,,,,,,1,,,,,,,,,,,,,,,
2021-09-04,B0000002,33,44,7,IT,33.9500007629395,,,,,,,,,,,,,32.9500007629395,,,,,,,,36.9500007629395,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,
2021-09-04,B0000009,71,17,4,ES,34.9500007629395,,,,,,,,,,,,,31.0050001144409,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
2021-09-05,B0000010,,,14,IT,29.5900001525879,,,,,,,,,,,,,,,34.4799995422363,,,,,,34.5200004577637,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,
2021-09-05,B0000001,,,36,FR,25.9500007629395,,26.1700000762939,,,,,,,,,,,24.9500007629395,,28.1900005340576,,,,,,,,,,,,,,,,,,,,,,26,,5,,,,,,,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,
2021-09-05,B0000002,,,20,FR,33.9500007629395,,34.2400016784668,,,,,,,,,,,32.9500007629395,,37.7999992370606,,,,,,,,,,,,,,,,,,,,,,14,,2,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,
2021-09-05,B0000009,,,5,FR,34.9500007629395,,35.2400016784668,,,,,,,,,,,33.9500007629395,,38.7999992370606,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
2021-09-06,B0000010,90,44,20,IT,29.5900001525879,,29.8400001525879,,,,,,,,,,,,,34.4799995422363,,,,,,34.5200004577637,,,,,,,,,,,,,,,,13,,4,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,
2021-09-06,B0000001,166,102,34,SE,25.7430006980896,,26.1700000762939,,,,,,,,,,,24.9500007629395,,28.1900005340576,,,,,,,,,,,,,,,,,,276.25,,,,25,,4,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,1,,,
2021-09-06,B0000002,19,39,7,IT,33.9500007629395,,34.2400016784668,,,,,,,,,,,,,37.7999992370606,,,,,,36.9500007629395,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
2021-09-06,B0000009,59,19,10,SI,34.9500007629395,,35.2400016784668,,,,,,,,,,,,,38.7999992370606,,,,,,,,,,,,,,,,,,,35.8300018310547,,,6,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,
2021-09-07,B0000010,,,10,DE,29.0000002384186,,29.8400001525879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-07,B0000001,,,26,IT,25.9500007629395,,26.1700000762939,,,,,,,,,,,24.9500007629395,,28.1900005340576,,,,,,28.0366668701172,,,,,,,,,,,,,,,,20,,1,,,,,,,,,,,1,,1,,,,,,3,,,,,,,,,,,,,,,
2021-09-07,B0000002,,,6,FR,33.9500007629395,,,34.5200004577637,,,,,,,,,,32.9500007629395,,37.7999992370606,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,
2021-09-07,B0000009,,,4,FR,34.9500007629395,,,,,,,,,,,,,33.9500007629395,,38.7999992370606,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,
2021-09-08,B0000010,90,18,12,FR,29.5900001525879,,,,,,,,,,,,,31.6399993896484,,34.4799995422363,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,1,,7,,,,,,,,,,,,,,,,,,,,,
2021-09-08,B0000001,171,83,28,IT,25.9500007629395,,24.7166665395101,,,,,,,,,,,24.9500007629395,,28.1900005340576,,,,,,28.75,,,,,,,,,,,,,,,,17,,3,,,,,,,,,,,3,,2,,,,,,1,,,,,,,,,,,,,,,
2021-09-08,B0000002,21,26,6,FR,33.9500007629395,,,,,,,,,,,,,32.9500007629395,,37.7999992370606,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
2021-09-08,B0000009,50,35,6,FR,34.9500007629395,,,,,,29.3700008392334,,,,,,,,,39.4433326721191,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
2021-09-09,B0000010,93,25,15,FR,29.5900001525879,,29.8400001525879,,,,,,,,,,,31.6399993896484,,34.4799995422363,,,,,,,,,,,,,,,,,,,,,,10,,3,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
2021-09-09,B0000001,162,102,25,IT,25.9500007629395,,,,,,,,,,,,,24.9500007629395,,28.1900005340576,,,,,,28.75,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,4,,4,,,,,,3,,,,,,,,,,,,,,,
2021-09-09,B0000002,18,40,11,IT,33.9500007629395,,,,,,,,,,,,,32.9500007629395,,37.7999992370606,,,,,,36.9500007629395,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,
2021-09-09,B0000009,54,33,3,FR,36.7000007629395,,37.0099983215332,,,,,,,,,,,,,40.7299995422363,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2021-09-10,B0000010,,,13,NL,29.5900001525879,,,,,,,,,,,,,,,34.4799995422363,,,,,,34.2399997711182,,,,,,,30.0900001525879,,,,,,,,,6,,,,,,,,,,,,,,,4,,,,,,2,,,,,,,1,,,,,,,,
2021-09-10,B0000001,,,24,NL,25.9500007629395,,26.1700000762939,,,,,,,,,,,24.9500007629395,,28.1900005340576,,,,,,28.75,,,,,,,25.9500007629395,,,,,,,,,17,,2,,,,,,,,,,,1,,1,,,,,,2,,,,,,,1,,,,,,,,
2021-09-10,B0000002,,,6,FR,33.9500007629395,,,,,,,,,,,,,32.9500007629395,,37.7999992370606,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
2021-09-10,B0000009,,,4,DE,38.3300018310547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-11,B0000010,,,13,NL,28.8033336003621,,29.8400001525879,,,,,,,,,,,,,34.4799995422363,,,,,,34.5200004577637,,,,,,,30.6700000762939,,,,,,,,,6,,1,,,,,,,,,,,,,4,,,,,,1,,,,,,,1,,,,,,,,
2021-09-11,B0000001,,,24,IT,25.9500007629395,,26.1700000762939,,,,,,,,,,,24.9500007629395,,28.1900005340576,,,,,,28.75,,,,,,,,,,,,,,,,18,,2,,,,,,,,,,,1,,1,,,,,,2,,,,,,,,,,,,,,,
2021-09-11,B0000002,,,7,PT,31.7820007324219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0900001525879,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2021-09-11,B0000009,,,3,IT,40.1199989318848,,,,,,,,,,,,,36.3899993896484,,,,,,,,37.9500007629395,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,
2021-09-12,B0000010,,,14,FR,29.5900001525879,,,,,,,,,,,,,,,34.4799995422363,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
2021-09-12,B0000001,,,32,SE,25.9500007629395,,26.1700000762939,,,,,,,,,,,24.9500007629395,,28.1900005340576,,,,,,23.5699996948242,,,,,,,,,,,,276.25,,,,26,,1,,,,,,,,,,,1,,2,,,,,,1,,,,,,,,,,,,1,,,
2021-09-12,B0000002,,,9,IT,33.9500007629395,,,,,,,,,,,,,32.9500007629395,,37.7999992370606,,,,,,36.9500007629395,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,2,,1,,,,,,2,,,,,,,,,,,,,,,
2021-09-12,B0000009,,,7,IT,41.939998626709,,,,,,,,,,,,,36.7400016784668,,46.5699996948242,,,,,,37.9500007629395,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,3,,,,,,1,,,,,,,,,,,,,,,
